,from,to,length,node_list,start_edge,end_edge,detector,edge_list
0,1297403614,60170471,175.67,1297403614 3214939948 298368073 298368069 3214939950 7702074848 4524911342 7698539437 7702074843 434551472 298372061 7702074840 7702074833 3216453378 298372985 60170471,114554802#0,37293912#0,114554802#7,114554802#0 114554802#1 114554802#2 114554802#3 114554802#4 114554802#5 114554802#6 114554802#7 114554802#8 37293913#0 37293913#1 37293913#2 37293913#3 37293913#4 37293912#0
1,315285583,659998488,89.07,315285583 2260404103 7862118549 2260404116 313962155 319604909 295056712 7862118550 659998488,122886923#0,29049210#1,122886923#3,122886923#0 122886923#1 122886923#2 122886923#3 316509065 316509063 29049210#0 29049210#1
2,315285583,1371750099,10.6,315285583 311747902 2485284348 1371750099,122886921#0,122886921#2,122886921#1,122886921#0 122886921#1 122886921#2
3,1371750099,315285583,10.6,1371750099 2485284348 311747902 315285583,-122886921#2,-122886921#0,-122886921#1,-122886921#2 -122886921#1 -122886921#0
4,1371750099,150983569,76.35,1371750099 298137943 1426836922 6339908473 1426836919 1378036892 1426836916 150983569,-129300238#1,-129300241#2,-129300233#0,-129300238#1 -129300238#0 -129300233#1 -129300233#0 -129300244#1 -129300244#0 -129300241#2
5,1371750099,1371750095,97.94,1371750099 311747899 941474677 7687786220 941474679 298278778 1371750095,-80727853#1,-36726220#2,-80727850#1,-80727853#1 -80727853#0 -80727850#1 -80727850#0 -36726220#3 -36726220#2
6,1371750094,150983569,53.15,1371750094 301360877 3216400387 1426836913 6339908478 150983569,122886922#0,129300241#1,122886922#2,122886922#0 122886922#1 122886922#2 129300241#0 129300241#1
7,1371750094,1371751506,18.2,1371750094 298373925 1371751508 1371751506,-52656372#2,-52656372#0,-52656372#1,-52656372#2 -52656372#1 -52656372#0
8,25291570,25291571,118.68,25291570 315385837 3812557458 436223305 7680060436 3327637248 315385121 25291571,195828013#0,326150486#1,195828013#3,195828013#0 195828013#1 195828013#2 195828013#3 195828013#4 326150486#0 326150486#1
9,25291570,1372260497,161.89,25291570 6488191698 315385117 7676126821 7676126812 7676079946 315385843 1372260497,-122949520#12,-122949520#6,-122949520#9,-122949520#12 -122949520#11 -122949520#10 -122949520#9 -122949520#8 -122949520#7 -122949520#6
