,x,y,id
0,54.35,563.66,1297403614
1,227.18,926.42,315285583
2,238.9,906.97,1371750099
3,103.89,820.41,1371750094
4,471.15,260.59,25291570
5,327.75,166.59,1372260497
6,298.01,54.5,1372260455
7,371.21,101.34,1372260491
8,170.72,0.0,607917519
9,93.84,679.53,1372441189
10,59.46,693.27,1547012334
11,1053.18,354.82,1376344654
12,683.08,222.08,1377940920
13,846.58,333.85,1380291085
14,838.02,609.97,1380411607
15,835.46,756.3,25292451
16,948.86,1055.99,4435014128
17,161.95,856.15,150983569
18,1095.18,490.39,1483296615
19,942.38,640.76,1380411630
20,813.09,1137.49,1936085683
21,184.63,825.41,3216400385
22,604.52,633.48,25291564
23,703.17,568.5,314935876
24,77.48,668.5,1973747714
25,50.2,900.53,1371748756
26,472.44,546.98,25291565
27,642.41,176.33,250658253
28,854.37,72.73,1379421236
29,854.52,66.24,311046294
30,1048.2,586.43,1380510464
31,835.01,277.53,314933748
32,817.29,304.87,25292484
33,529.88,457.62,25291550
34,339.89,749.79,1377211668
35,946.22,433.7,1380323658
36,663.1,542.45,25291567
37,340.87,460.9,25291537
38,473.94,836.19,60170470
39,37.66,262.51,3401767817
40,119.76,316.12,59953366
41,939.13,759.64,60456094
42,631.13,118.42,60454050
43,613.7,76.47,1297428261
44,425.22,35.34,3496826441
45,299.4,812.77,1371750095
46,528.96,749.48,1377211669
47,396.2,663.66,1377211666
48,166.59,728.29,1377211667
49,788.58,349.5,1377940927
50,845.02,384.9,1380323468
51,950.2,337.54,60069047
52,1050.63,489.74,243970410
53,1038.12,1057.98,4435014132
54,950.65,1099.29,206102178
55,832.52,824.42,25345666
56,560.51,124.95,25292477
57,523.3,181.66,25292480
58,207.93,664.76,60170471
59,1054.29,302.1,1379421404
60,1024.45,302.42,311047595
61,849.3,251.17,314933749
62,1042.78,829.41,25345665
63,1043.68,760.86,25345669
64,680.34,682.58,317703609
65,224.6,930.62,313963185
66,79.8,812.32,1371751506
67,197.81,367.34,25292473
68,1135.02,356.87,742231100
69,946.62,489.33,1380323660
70,944.3,583.26,60456785
71,1087.57,587.63,922394981
72,837.54,637.11,1380411608
73,1037.43,1082.75,878470739
74,1118.03,1059.21,890175722
75,730.9,607.94,58753656
76,737.59,428.07,1005526490
77,843.59,430.85,1380323657
78,951.44,304.23,1380323407
79,952.24,281.64,1380274123
80,958.31,65.04,941367128
81,958.14,75.68,1379421238
82,1054.39,296.33,317118296
83,655.98,265.46,1377940926
84,735.09,431.9,25291568
85,173.74,220.6,77698717
86,122.26,484.03,1377610493
87,79.67,548.94,1297403632
88,383.21,867.2,1371750097
89,255.8,278.39,1372247485
90,399.08,371.62,25291571
91,712.45,707.35,246630384
92,728.97,712.36,292727238
93,618.23,806.83,1372470119
94,760.59,67.94,1377940906
95,849.34,277.63,1380274121
96,731.61,592.67,25291572
97,24.53,69.1,149161959
98,455.34,1075.74,313959167
99,446.45,1088.02,313959318
100,846.91,322.86,25292485
101,685.02,712.19,246630386
102,695.08,693.72,1372477605
103,706.82,706.72,434149261
104,728.37,665.61,25291581
105,435.81,1067.58,313959329
106,707.85,716.0,913255820
107,430.63,1074.53,313959319
108,308.86,981.58,659998488
109,514.58,194.94,25292476
110,638.48,813.81,317703803
111,303.93,989.43,319604907
112,264.59,577.58,25291591
113,376.64,1149.85,572766855
114,1119.51,831.27,775985726
115,604.05,58.44,247359926
