edges_version;edge_disallow;edge_from;edge_id;edge_numLanes;edge_priority;edge_speed;edge_to;edge_type
1.6;tram rail_urban rail rail_electric rail_fast ship;3214939948;-114554802#0;1;3;8.33;1297403614;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;298368073;-114554802#1;1;3;8.33;3214939948;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;298368069;-114554802#2;1;3;8.33;298368073;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;3214939950;-114554802#3;1;3;8.33;298368069;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;7702074848;-114554802#4;1;3;8.33;3214939950;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;4524911342;-114554802#5;1;3;8.33;7702074848;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;7698539437;-114554802#6;1;3;8.33;4524911342;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;7702074843;-114554802#7;1;3;8.33;7698539437;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;434551472;-114554802#8;1;3;8.33;7702074843;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;1380291042;-114557572;1;3;8.33;3495146104;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;311747902;-122886921#0;1;10;8.33;315285583;highway.tertiary
1.6;tram rail_urban rail rail_electric rail_fast ship;2485284348;-122886921#1;1;10;8.33;311747902;highway.tertiary
1.6;tram rail_urban rail rail_electric rail_fast ship;1371750099;-122886921#2;1;10;8.33;2485284348;highway.tertiary
1.6;tram rail_urban rail rail_electric rail_fast ship;301360877;-122886922#0;1;10;8.33;1371750094;highway.tertiary
1.6;tram rail_urban rail rail_electric rail_fast ship;3216400387;-122886922#1;1;10;8.33;301360877;highway.tertiary
1.6;tram rail_urban rail rail_electric rail_fast ship;1426836913;-122886922#2;1;10;8.33;3216400387;highway.tertiary
1.6;tram rail_urban rail rail_electric rail_fast ship;1372287165;-122949520#0;1;3;8.33;1372260494;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;7937196090;-122949520#1;1;3;8.33;1372287165;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;315385117;-122949520#10;1;3;8.33;7676126821;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;6488191698;-122949520#11;1;3;8.33;315385117;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;25291570;-122949520#12;1;3;8.33;6488191698;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;7669695391;-122949520#2;1;3;8.33;7937196090;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;7673624749;-122949520#3;1;3;8.33;7669695391;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;315385849;-122949520#4;1;3;8.33;7673624749;highway.residential
1.6;tram rail_urban rail rail_electric rail_fast ship;1372260497;-122949520#5;1;3;8.33;315385849;highway.residential
