nodes_version;location_convBoundary;location_netOffset;location_origBoundary;location_projParameter;node_id;node_type;node_x;node_y;node_tl
1.6;0.00,0.00,1135.02,1149.85;-385174.69,-6671039.23;24.914235,60.156132,24.966609,60.189319;+proj=utm +zone=35 +ellps=WGS84 +datum=WGS84 +units=m +no_defs;;;;;
1.6;;;;;1003627114;priority;943.37;611.25;
1.6;;;;;1004552381;priority;693.04;696.64;
1.6;;;;;1004552577;priority;697.05;695.79;
1.6;;;;;1005429216;priority;1053.05;361.74;
1.6;;;;;1005473142;priority;857.72;277.86;
1.6;;;;;1005473202;priority;848.92;280.29;
1.6;;;;;1005473289;priority;842.06;277.57;
1.6;;;;;1005473391;priority;863.19;72.98;
1.6;;;;;1005526387;priority;946.91;75.36;
1.6;;;;;1005526433;priority;733.44;434.40;
1.6;;;;;1005526490;right_before_left;737.59;428.07;
1.6;;;;;1007051486;priority;854.82;334.02;
1.6;;;;;1007051492;priority;647.29;193.66;
1.6;;;;;1007051629;priority;851.37;333.93;
1.6;;;;;1007824351;priority;112.34;311.25;
1.6;;;;;1007824554;priority;125.88;320.14;
1.6;;;;;1011088523;priority;634.23;127.00;
1.6;;;;;1011256640;priority;510.52;201.11;
1.6;;;;;1011256666;priority;591.23;78.14;
1.6;;;;;1011256677;priority;528.05;174.41;
1.6;;;;;1011415132;traffic_light;345.69;454.24;1011415132
1.6;;;;;1011463184;priority;672.86;548.50;
1.6;;;;;1012497956;priority;1041.99;851.71;
1.6;;;;;1012497968;traffic_light;1041.83;856.97;1012497968
1.6;;;;;1013224876;priority;78.95;289.33;
1.6;;;;;1125194694;priority;702.04;481.82;
1.6;;;;;1125194699;priority;671.57;529.47;
1.6;;;;;1137435462;priority;636.62;583.29;
1.6;;;;;1156114391;priority;824.25;824.22;
1.6;;;;;1156114393;priority;766.60;823.47;
1.6;;;;;1297403614;priority;54.35;563.66;
1.6;;;;;1297403622;priority;108.89;504.52;
1.6;;;;;1297403632;dead_end;79.67;548.94;
1.6;;;;;1297403637;priority;114.06;496.67;
1.6;;;;;1297407672;priority;127.54;475.79;
1.6;;;;;1297407675;priority;148.84;442.68;
1.6;;;;;1297407676;priority;138.60;458.59;
1.6;;;;;1297407679;priority;168.69;411.96;
1.6;;;;;1297410874;priority;248.80;289.20;
1.6;;;;;1297410876;priority;242.13;299.42;
1.6;;;;;1297410878;priority;225.53;324.84;
1.6;;;;;1297416468;priority;338.71;149.90;
1.6;;;;;1297416470;priority;319.99;178.68;
1.6;;;;;1297416471;priority;345.57;139.57;
1.6;;;;;1297416474;priority;276.75;245.56;
1.6;;;;;1297416476;priority;363.22;112.94;
1.6;;;;;1297416477;priority;332.77;158.87;
1.6;;;;;1297423818;dead_end;391.28;71.28;
1.6;;;;;1297423829;priority;377.31;92.46;
1.6;;;;;1297428261;priority;613.70;76.47;
1.6;;;;;1371748756;priority;50.20;900.53;
1.6;;;;;1371750094;right_before_left;103.89;820.41;
1.6;;;;;1371750095;right_before_left;299.40;812.77;
1.6;;;;;1371750097;priority;383.21;867.20;
1.6;;;;;1371750099;priority;238.90;906.97;
1.6;;;;;1371750101;priority;307.43;983.82;
1.6;;;;;1371751506;priority;79.80;812.32;
1.6;;;;;1371751508;traffic_light;89.09;814.04;1371751508
1.6;;;;;1372205478;priority;185.16;227.29;
1.6;;;;;1372247485;traffic_light;255.80;278.39;1372247485
1.6;;;;;1372260450;priority;293.21;51.29;
1.6;;;;;1372260455;right_before_left;298.01;54.50;
1.6;;;;;1372260491;right_before_left;371.21;101.34;
1.6;;;;;1372260494;priority;262.80;110.58;
1.6;;;;;1372260497;right_before_left;327.75;166.59;
1.6;;;;;1372287165;priority;274.20;131.36;
1.6;;;;;1372441189;right_before_left;93.84;679.53;
1.6;;;;;1372470119;right_before_left;618.23;806.83;
1.6;;;;;1372477605;priority;695.08;693.72;
1.6;;;;;1376344654;right_before_left;1053.18;354.82;
1.6;;;;;1377208998;priority;437.84;690.40;
1.6;;;;;1377209035;priority;487.99;722.99;
1.6;;;;;1377211666;priority;396.20;663.66;
1.6;;;;;1377211667;priority;166.59;728.29;
1.6;;;;;1377211668;right_before_left;339.89;749.79;
1.6;;;;;1377211669;traffic_light;528.96;749.48;1377211669
1.6;;;;;1377610493;traffic_light;122.26;484.03;1377610493
1.6;;;;;1377940906;dead_end;760.59;67.94;
1.6;;;;;1377940911;priority;852.61;140.44;
1.6;;;;;1377940920;right_before_left;683.08;222.08;
1.6;;;;;1377940926;right_before_left;655.98;265.46;
1.6;;;;;1377940927;right_before_left;788.58;349.50;
1.6;;;;;1378036892;priority;172.22;862.91;
1.6;;;;;1379421236;right_before_left;854.37;72.73;
1.6;;;;;1379421238;right_before_left;958.14;75.68;
1.6;;;;;1379421404;right_before_left;1054.29;302.10;
1.6;;;;;1380274059;priority;955.61;163.99;
1.6;;;;;1380274121;right_before_left;849.34;277.63;
1.6;;;;;1380274123;right_before_left;952.24;281.64;
1.6;;;;;1380291042;priority;636.46;133.92;
1.6;;;;;1380291085;right_before_left;846.58;333.85;
1.6;;;;;1380323407;right_before_left;951.44;304.23;
1.6;;;;;1380323468;right_before_left;845.02;384.90;
1.6;;;;;1380323657;right_before_left;843.59;430.85;
1.6;;;;;1380323658;right_before_left;946.22;433.70;
1.6;;;;;1380323660;right_before_left;946.62;489.33;
1.6;;;;;1380411602;traffic_light;711.98;589.32;1380411602
1.6;;;;;1380411607;right_before_left;838.02;609.97;
1.6;;;;;1380411608;right_before_left;837.54;637.11;
1.6;;;;;1380411630;right_before_left;942.38;640.76;
1.6;;;;;1380510464;right_before_left;1048.20;586.43;
1.6;;;;;1380961225;priority;755.29;823.31;
1.6;;;;;1380974098;priority;1039.50;967.38;
1.6;;;;;1380974104;priority;824.55;1056.85;
1.6;;;;;1380974106;priority;933.84;1055.84;
1.6;;;;;1380976626;traffic_light;554.34;900.99;1380976626
1.6;;;;;1405850868;traffic_light;352.43;468.27;1405850868
1.6;;;;;1405850873;priority;402.03;500.89;
1.6;;;;;1405866798;priority;795.08;609.16;
1.6;;;;;1413816272;priority;838.21;1054.30;
1.6;;;;;1413816275;priority;921.35;1055.38;
1.6;;;;;1416958253;priority;350.74;733.01;
1.6;;;;;1420446379;priority;557.46;203.30;
1.6;;;;;1426836913;priority;128.32;835.05;
1.6;;;;;1426836916;priority;170.38;861.70;
1.6;;;;;1426836919;priority;178.53;867.08;
1.6;;;;;1426836922;priority;199.43;880.87;
1.6;;;;;1456572631;priority;677.41;821.29;
1.6;;;;;1456572633;priority;685.12;821.91;
1.6;;;;;1456772990;priority;424.85;682.08;
1.6;;;;;1457909400;traffic_light;628.35;792.48;1457909400
1.6;;;;;1457909403;traffic_light;645.18;804.33;1457909403
1.6;;;;;1483296615;priority;1095.18;490.39;
1.6;;;;;149161959;dead_end;24.53;69.10;
1.6;;;;;150983569;priority;161.95;856.15;
1.6;;;;;1513666605;priority;957.43;105.26;
1.6;;;;;1513666643;priority;955.37;172.41;
1.6;;;;;1547012334;priority;59.46;693.27;
1.6;;;;;1577981244;priority;626.38;831.00;
1.6;;;;;1621482165;priority;878.53;758.72;
1.6;;;;;1651494815;priority;86.07;847.43;
1.6;;;;;1674252418;priority;987.16;302.04;
1.6;;;;;1677741874;priority;699.81;822.31;
1.6;;;;;1677741875;priority;718.47;822.65;
1.6;;;;;1677747117;priority;743.55;823.18;
1.6;;;;;1683121375;priority;1048.92;557.94;
1.6;;;;;189426849;priority;954.28;1056.15;
1.6;;;;;189508866;traffic_light;718.51;576.58;189508866
1.6;;;;;1936085683;traffic_light;813.09;1137.49;1936085683
1.6;;;;;1973747714;priority;77.48;668.50;
1.6;;;;;1984341838;priority;639.49;777.12;
1.6;;;;;1984341841;priority;630.96;789.14;
1.6;;;;;1984341845;priority;597.22;836.65;
1.6;;;;;1984341848;priority;579.78;861.95;
1.6;;;;;1984341849;priority;572.47;872.55;
