,id,type,x,y,incLanes,intLanes,shape
0,1003627114,priority,943.37,611.25,260944338_0 -197339886_0,:1003627114_0_0 :1003627114_1_0,"946.57,611.20 940.18,611.00 940.17,611.29 946.56,611.51"
1,1004552381,priority,693.04,696.64,258783043#0_0,:1004552381_0_0,"694.44,697.44 691.81,695.60 691.63,695.86 694.28,697.66"
2,1004552577,priority,697.05,695.79,230521085#0_0,:1004552577_0_0,"695.95,696.96 698.33,694.82 698.12,694.59 695.80,696.80"
3,1005429216,priority,1053.05,361.74,-81152596#1_0 81152596#0_0,:1005429216_0_0 :1005429216_1_0,"1056.25,361.80 1049.85,361.68 1056.25,361.80"
4,1005473142,priority,857.72,277.86,123899996#2_0,:1005473142_0_0,"857.81,279.46 857.93,276.27 857.64,276.25 857.50,279.45"
5,1005473202,priority,848.92,280.29,30528322#0_0,:1005473202_0_0,"850.52,280.41 847.36,279.91 847.32,280.21 850.49,280.63"
6,1005473289,priority,842.06,277.57,123899997#0_0,:1005473289_0_0,"842.20,279.17 842.22,275.97 841.92,275.97 841.90,279.17"
7,1005473391,priority,863.19,72.98,28842837#1_0,:1005473391_0_0,"863.29,74.58 863.39,71.38 863.09,71.38 862.99,74.57"
8,1005526387,priority,946.91,75.36,28842837#3_0,:1005526387_0_0,"947.01,76.96 947.11,73.77 946.81,73.76 946.71,76.96"
9,1005526433,priority,733.44,434.40,-97129661#3_0 97129661#2_0,:1005526433_0_0 :1005526433_1_0,"736.19,436.04 730.85,432.51 730.69,432.76 736.02,436.29"
10,1005526490,right_before_left,737.59,428.07,77893327#2_0 81924137#1_0 -81924137#2_0,:1005526490_0_0 :1005526490_1_0 :1005526490_2_0 :1005526490_3_0 :1005526490_4_0 :1005526490_5_0 :1005526490_6_0 :1005526490_7_0 :1005526490_8_0,"747.57,431.27 747.57,424.87 745.79,421.54 740.47,417.99 731.78,431.12 737.14,434.62"
11,1007051486,priority,854.82,334.02,-36729036#0_0 86597190#1_0,:1007051486_0_0 :1007051486_1_0,"854.85,337.22 855.09,330.83 854.82,330.82 854.53,337.21"
12,1007051492,priority,647.29,193.66,28842830#0_0 -28842830#1_0,:1007051492_0_0 :1007051492_1_0,"644.98,195.92 650.11,192.09 644.15,194.43 644.39,195.02 644.49,195.22 644.61,195.41 644.77,195.63"
13,1007051629,priority,851.37,333.93,-86597190#0_0 123901490_0,:1007051629_0_0 :1007051629_1_0,"851.49,337.13 851.55,330.73 851.27,330.73 851.17,337.13"
14,1007824351,priority,112.34,311.25,-333061574#1_0 333061574#0_0,:1007824351_0_0 :1007824351_1_0,"110.71,314.01 114.22,308.66 113.98,308.50 110.45,313.84"
15,1007824554,priority,125.88,320.14,-333061574#3_0 333061574#2_0,:1007824554_0_0 :1007824554_1_0,"124.25,322.90 127.76,317.55 127.51,317.38 124.00,322.73"
16,1011088523,priority,634.23,127.00,342534666#0_0 -342534666#1_0,:1011088523_0_0 :1011088523_1_0,"631.22,128.10 637.31,126.13 637.20,125.80 631.18,127.98"
17,1011256640,priority,510.52,201.11,30001902#0_0 30001902#0_1,:1011256640_0_0 :1011256640_0_1,"513.28,202.74 507.93,199.23 507.76,199.49 513.12,202.98"
18,1011256666,priority,591.23,78.14,8014829#0_0 8014829#0_1,:1011256666_0_0 :1011256666_0_1,"594.00,79.75 588.62,76.28 588.47,76.51 593.82,80.02"
19,1011256677,priority,528.05,174.41,8014829#7_0 8014829#7_1,:1011256677_0_0 :1011256677_0_1,"530.81,176.04 525.46,172.53 525.29,172.78 530.64,176.29"
20,1011415132,traffic_light,345.69,454.24,81527023#1_0 81527023#1_1,:1011415132_0_0 :1011415132_0_1,"348.45,455.86 343.04,452.45 348.22,456.20"
21,1011463184,priority,672.86,548.50,18385008#2_0 -18385008#3_0 -18385008#3_1,:1011463184_0_0 :1011463184_1_0 :1011463184_1_1,"671.20,551.24 676.18,543.03 676.05,542.95 671.07,551.16"
22,1012497956,priority,1041.99,851.71,-315605356_0 143057426#1_0,:1012497956_0_0 :1012497956_1_0,"1045.19,851.66 1038.80,851.46 1038.79,851.77 1045.18,851.95"
23,1012497968,traffic_light,1041.83,856.97,-143057426#1_0 143057426#0_0,:1012497968_0_0 :1012497968_1_0,"1045.03,856.92 1038.64,856.72 1038.63,857.03 1045.02,857.21"
24,1013224876,priority,78.95,289.33,-333061572#1_0 333061572#0_0,:1013224876_0_0 :1013224876_1_0,"77.33,292.09 80.82,286.73 80.58,286.57 77.07,291.92"
25,1125194694,priority,702.04,481.82,-97129661#0_0 97129664_0,:1125194694_0_0 :1125194694_1_0,"704.74,483.54 699.35,480.09 704.74,483.54"
26,1125194699,priority,671.57,529.47,-97129664_0 317000785_0,:1125194699_0_0 :1125194699_1_0,"674.35,531.07 668.95,527.62 668.80,527.87 674.18,531.32"
27,1137435462,priority,636.62,583.29,-98304770_0 62212961#1_0,:1137435462_0_0 :1137435462_1_0,"639.30,585.03 633.94,581.55 639.30,585.03"
28,1156114391,priority,824.25,824.22,166564262_0 166564262_1,:1156114391_0_0 :1156114391_0_1,"824.32,827.42 824.47,821.02 824.14,821.02 824.07,827.42"
29,1156114393,priority,766.60,823.47,99988875_0 99988875_1,:1156114393_0_0 :1156114393_0_1,"766.70,826.67 766.80,820.27 766.50,820.27 766.40,826.67"
30,1297403614,priority,54.35,563.66,-114554802#0_0,:1297403614_0_0,"54.35,563.66 52.58,566.33 54.35,563.66"
31,1297403622,priority,108.89,504.52,114554786#2_0 114554786#2_1,:1297403622_0_0 :1297403622_0_1,"111.64,506.15 106.30,502.63 106.13,502.89 111.48,506.40"
32,1297403632,dead_end,79.67,548.94,,,"82.34,550.70 77.00,547.18"
